id,nodecount,avgversion,attributecount,usercount,node_int,attribute_int
0,1,7,16,1,1,16
7,1,5,12,1,1,12
111,1,7,16,1,1,16
139,1,10,20,1,1,20
212,1,1,1,1,1,1
262,1,5,12,1,1,12
367,1,1,0,1,1,0
373,1,6,12,1,1,12
413,1,3,0,1,1,0
419,1,1,0,1,1,0
420,1,4,8,1,1,8
540,1,1,1,1,1,1
543,1,3,0,1,1,0
563,2,6.56,36,1,2,36
592,1,1,1,1,1,1
594,1,8,20,1,1,20
611,1,1,1,1,1,1
613,1,5,12,1,1,12
661,1,4,0,1,1,0
687,1,1,1,1,1,1
695,1,3,0,1,1,0
740,3,5.2,8,1,3,8
741,1,1,1,1,1,1
746,2,7.71,16,1,2,16
846,1,1,1,1,1,1
847,1,8,16,1,1,16
905,1,6,8,1,1,8
1050,1,7,16,1,1,16
1151,1,3,0,1,1,0
1197,1,2,5,1,1,5
1299,10,1.32,17,2,10,17
1300,3,2.6,8,1,3,8
1351,5,1,0,1,5,0
1352,1,1,0,1,1,0
1403,1,2,12,1,1,12
2198,1,1,0,1,1,0
2199,1,1,0,1,1,0
2200,1,1,0,1,1,0
2209,2,1,0,1,2,0
2211,1,1,0,1,1,0
2218,6,1,0,1,6,0
2219,4,1,0,1,4,0
2249,2,1,0,1,2,0
2252,2,1,0,1,2,0
2253,1,1,0,1,1,0
2257,6,1,0,1,6,0
2258,3,1,0,1,3,0
2259,2,1,0,1,2,0
2260,8,1,0,1,8,0
2261,5,1,0,1,5,0
2262,16,1,0,1,16,0
2263,24,1,0,1,24,0
2264,1,1,0,1,1,0
2265,2,1,0,1,2,0
2266,8,1,0,1,8,0
2269,24,1,0,1,24,0
2270,9,1,0,1,9,0
2271,2,1,0,1,2,0
2272,5,1,0,1,5,0
2299,5,1,0,1,5,0
2300,8,1,0,1,8,0
2301,1,1,0,1,1,0
2303,3,1,0,1,3,0
2304,1,1,0,1,1,0
2305,2,1,0,1,2,0
2308,2,2,0,1,2,0
2309,7,1,0,1,7,0
2310,18,1,0,1,18,0
2311,6,1,0,1,6,0
2312,10,1,0,1,10,0
2313,12,1,0,1,12,0
2314,5,1,0,1,5,0
2315,1,1,0,1,1,0
2318,10,1,0,1,10,0
2319,7,1,0,1,7,0
2320,8,1,0,1,8,0
2321,22,1,0,1,22,0
2322,17,1,0,1,17,0
2323,6,1,0,1,6,0
2350,5,1,0,1,5,0
2351,10,1,0,1,10,0
2352,5,1,0,1,5,0
2353,2,1,0,1,2,0
2354,2,1,0,1,2,0
2355,2,1,0,1,2,0
2356,3,1,0,1,3,0
2359,2,2,0,1,2,0
2360,18,1,0,1,18,0
2361,26,1,0,1,26,0
2362,3,1,0,1,3,0
2364,2,1,0,1,2,0
2369,5,1,0,1,5,0
2370,2,1,0,1,2,0
2371,2,1,0,1,2,0
2372,7,1,0,1,7,0
2373,11,1,0,1,11,0
2374,10,1,0,1,10,0
2406,3,1,0,1,3,0
2411,3,1,0,1,3,0
2412,5,1,0,1,5,0
2422,1,1,0,1,1,0
2423,7,1,0,1,7,0
2424,4,1,0,1,4,0
